,0
0,https://en.wikipedia.org/wiki/Istanbul_Airport
1,https://en.wikipedia.org/wiki/Kunming_Changshui_International_Airport
2,https://en.wikipedia.org/wiki/Chengdu_Tianfu_International_Airport
3,https://en.wikipedia.org/wiki/Qingdao_Jiaodong_International_Airport
4,https://en.wikipedia.org/wiki/Yinchuan_Hedong_International_Airport
5,https://en.wikipedia.org/wiki/Wikipedia:Citation_needed
6,https://en.wikipedia.org/wiki/Yantai_Penglai_International_Airport
7,https://en.wikipedia.org/wiki/Aeroparque_Jorge_Newbery
8,https://en.wikipedia.org/wiki/Al_Najaf_International_Airport
9,https://en.wikipedia.org/wiki/Dallas_Love_Field
10,https://en.wikipedia.org/wiki/Blaise_Diagne_International_Airport
11,https://en.wikipedia.org/wiki/Islamabad_International_Airport
12,https://en.wikipedia.org/wiki/Zhanjiang_Wuchuan_Airport
13,https://en.wikipedia.org/wiki/Platov_International_Airport
14,https://en.wikipedia.org/wiki/Manohar_International_Airport
15,https://en.wikipedia.org/wiki/Punta_Gorda_Airport_(Florida)
16,https://en.wikipedia.org/wiki/Persian_Gulf_Airport
17,https://en.wikipedia.org/wiki/Eppley_Airfield
18,https://en.wikipedia.org/wiki/Lianyungang_Huaguoshan_International_Airport
19,https://en.wikipedia.org/wiki/Qeshm_International_Airport
20,https://en.wikipedia.org/wiki/Albuquerque_International_Sunport
21,https://en.wikipedia.org/wiki/Kualanamu_International_Airport
22,https://en.wikipedia.org/wiki/Karlsruhe/Baden-Baden_Airport
23,https://en.wikipedia.org/wiki/Portland_International_Jetport
24,https://en.wikipedia.org/wiki/Zhukovsky_International_Airport
25,https://en.wikipedia.org/wiki/Phu_Quoc_International_Airport
26,https://en.wikipedia.org/wiki/Felipe_%C3%81ngeles_International_Airport
27,https://en.wikipedia.org/wiki/Wuhu_Xuanzhou_Airport
28,https://en.wikipedia.org/wiki/Jardines_del_Rey_Airport
29,https://en.wikipedia.org/wiki/Yogyakarta_International_Airport
30,https://en.wikipedia.org/wiki/Halim_Perdanakusuma_International_Airport
31,https://en.wikipedia.org/wiki/Saratov_Gagarin_Airport
32,https://en.wikipedia.org/wiki/Kannur_International_Airport
33,https://en.wikipedia.org/wiki/Nepalgunj_Airport
34,https://en.wikipedia.org/wiki/Abel_Santamar%C3%ADa_Airport
35,https://en.wikipedia.org/wiki/Lajes_Airport
36,https://en.wikipedia.org/wiki/Kharg_Airport
37,https://en.wikipedia.org/wiki/Lombok_International_Airport
38,https://en.wikipedia.org/wiki/Provo_Municipal_Airport
39,https://en.wikipedia.org/wiki/Dazhou_Jinya_Airport
40,https://en.wikipedia.org/wiki/Myitkyina_Airport
41,https://en.wikipedia.org/wiki/Bucholz_Army_Airfield
42,https://en.wikipedia.org/wiki/Gorgan_Airport
43,https://en.wikipedia.org/wiki/Longnan_Chengxian_Airport
44,https://en.wikipedia.org/wiki/CFB_Goose_Bay
45,https://en.wikipedia.org/wiki/Toowoomba_Wellcamp_Airport
46,https://en.wikipedia.org/wiki/Hazret_Sultan_International_Airport
47,https://en.wikipedia.org/wiki/Komodo_Airport
48,https://en.wikipedia.org/wiki/Comandante_Armando_Tola_International_Airport
49,https://en.wikipedia.org/wiki/Ordu%E2%80%93Giresun_Airport
50,https://en.wikipedia.org/wiki/Seronera_Airstrip
51,https://en.wikipedia.org/wiki/Comayagua_International_Airport
52,https://en.wikipedia.org/wiki/Castell%C3%B3n%E2%80%93Costa_Azahar_Airport
53,https://en.wikipedia.org/wiki/Depati_Amir_Airport
54,https://en.wikipedia.org/wiki/Tho_Xuan_Airport
55,https://en.wikipedia.org/wiki/Mattala_Rajapaksa_International_Airport
56,https://en.wikipedia.org/wiki/Pokhara_International_Airport
57,https://en.wikipedia.org/wiki/CFB_Comox
58,https://en.wikipedia.org/wiki/Wikipedia:Verifiability#Questionable_sources
59,https://en.wikipedia.org/wiki/Bra%C8%99ov-Ghimbav_International_Airport
60,https://en.wikipedia.org/wiki/Charles_M._Schulz%E2%80%93Sonoma_County_Airport
61,https://en.wikipedia.org/wiki/CFB_Bagotville
62,https://en.wikipedia.org/wiki/Ankang_Fuqiang_Airport
63,https://en.wikipedia.org/wiki/Mtemere_Airstrip
64,https://en.wikipedia.org/wiki/Saint-Augustin_Airport
65,https://en.wikipedia.org/wiki/Laguindingan_Airport
66,https://en.wikipedia.org/wiki/Shirdi_Airport
67,https://en.wikipedia.org/wiki/Paine_Field
68,https://en.wikipedia.org/wiki/Comte._Ariston_Pessoa_Regional_Airport
69,https://en.wikipedia.org/wiki/Heze_Mudan_Airport
